,x,y,camera_state
0,79,333,on
1,80,332,on
2,81,332,on
3,82,332,on
4,85,330,on
5,90,329,on
6,97,326,on
7,104,320,on
8,108,316,on
9,113,312,on
10,119,307,on
11,125,300,on
12,129,295,on
13,134,291,on
14,138,287,on
15,143,283,on
16,146,278,on
17,149,274,off
18,152,271,off
19,155,268,off
20,158,264,off
21,161,261,off
22,163,258,off
23,166,254,off
24,169,250,off
25,172,247,off
26,174,244,off
27,176,241,off
28,179,237,off
29,183,232,off
30,188,226,off
31,192,221,off
32,196,217,off
33,198,213,off
34,201,210,off
35,206,203,off
36,210,198,off
37,214,192,off
38,216,188,off
39,219,185,off
40,222,181,off
41,224,178,off
42,228,173,off
43,230,171,off
44,233,168,off
45,238,164,off
46,243,161,off
47,251,156,off
48,257,153,off
49,262,153,off
50,269,152,off
51,279,152,off
52,285,151,off
53,289,153,off
54,292,153,off
55,296,155,off
56,298,156,off
57,347,160,on
58,351,162,on
59,354,163,on
60,360,165,on
61,365,166,on
62,375,167,on
63,385,168,on
64,394,168,on
65,402,168,on
66,408,167,on
67,414,166,on
68,421,167,on
69,429,167,on
70,435,166,on
71,440,165,off
72,445,165,off
73,450,164,off
74,455,164,off
75,462,163,off
76,469,163,off
77,474,163,off
78,482,163,off
79,486,163,off
80,491,164,off
81,495,164,off
82,503,165,off
83,510,165,off
84,515,165,off
85,520,165,off
86,527,165,off
87,531,164,off
88,536,164,off
89,540,164,off
90,547,163,off
91,552,163,off
92,585,159,on
93,591,158,on
94,596,158,on
95,603,159,on
96,608,159,on
97,614,159,on
98,620,159,on
99,625,159,on
100,633,159,on
101,640,159,on
102,646,158,on
103,651,159,on
104,657,160,on
105,663,160,on
106,669,160,on
107,674,160,on
108,680,160,on
109,686,161,on
110,692,160,on
111,700,160,on
112,706,161,on
113,710,161,on
114,715,161,on
115,722,162,on
116,728,162,on
117,732,163,on
118,735,163,on
119,739,163,on
120,744,162,on
121,748,161,on
122,752,159,on
123,757,157,on
124,763,154,on
125,770,150,on
126,776,147,on
127,782,143,on
128,788,139,on
129,794,135,on
