,left_speed_measured,right_speed_measured,camera_state
0,0,0,on
1,0,0,on
2,27,0,on
3,55,13,on
4,75,12,on
5,102,11,on
6,131,16,on
7,148,27,on
8,113,64,on
9,140,66,on
10,125,72,on
11,102,72,on
12,89,74,on
13,96,76,on
14,87,78,on
15,86,74,on
16,81,76,on
17,85,76,off
18,87,71,off
19,89,72,off
20,83,74,off
21,86,71,off
22,90,79,off
23,86,78,off
24,78,78,off
25,74,77,off
26,74,71,off
27,58,76,off
28,77,77,off
29,74,77,off
30,77,75,off
31,78,72,off
32,73,71,off
33,75,68,off
34,73,77,off
35,103,72,off
36,75,76,off
37,76,79,off
38,76,85,off
39,70,91,off
40,73,97,off
41,74,101,off
42,47,118,off
43,0,130,off
44,17,133,off
45,43,165,off
46,41,157,off
47,22,199,off
48,24,187,off
49,29,153,off
50,65,130,off
51,67,164,off
52,52,152,off
53,36,118,off
54,28,88,off
55,27,57,off
56,43,29,off
57,64,18,on
58,193,16,on
59,103,45,on
60,139,27,on
61,105,52,on
62,128,47,on
63,138,70,on
64,128,77,on
65,88,72,on
66,102,77,on
67,68,75,on
68,93,71,on
69,111,72,on
70,128,73,on
71,93,54,off
72,79,71,off
73,71,76,off
74,77,79,off
75,71,103,off
76,76,103,off
77,78,114,off
78,78,120,off
79,71,102,off
80,76,99,off
81,89,74,off
82,91,73,off
83,143,71,off
84,104,51,off
85,93,72,off
86,79,74,off
87,72,76,off
88,71,88,off
89,78,90,off
90,77,88,off
91,74,90,off
92,78,88,on
93,78,98,on
94,77,80,on
95,53,77,on
96,76,81,on
97,82,75,on
98,79,77,on
99,79,75,on
100,73,84,on
101,77,85,on
102,75,85,on
103,77,82,on
104,86,72,on
105,85,73,on
106,75,78,on
107,80,76,on
108,75,71,on
109,76,77,on
110,77,74,on
111,72,77,on
112,32,85,on
113,73,59,on
114,61,88,on
115,63,89,on
116,35,58,on
117,39,29,on
118,60,17,on
119,74,13,on
120,66,15,on
121,100,13,on
122,123,24,on
123,169,35,on
124,110,61,on
125,137,68,on
126,132,64,on
127,137,78,on
128,111,78,on
129,110,79,on
